branch,cgpa,tenth_percentage,twelfth_percentage,programming_skill,communication_skill,problem_solving,teamwork,leadership,internships,projects,certifications,hackathons,backlogs,resume_score,aptitude_score,coding_score,communication_test,placement_score,placed
DS,6.32,91.3,72.3,6.3,6.8,5.9,9.4,5.5,2,2,1,1,3,57.0,41.9,67.3,77.1,30.3,0
CSE,8.83,86.3,80.8,5.9,7.6,9.1,6.4,6.1,0,2,2,1,0,62.9,67.8,64.1,69.0,50.7,1
IT,6.89,66.6,81.8,6.6,8.7,7.6,6.8,6.3,1,1,2,2,0,62.5,56.1,64.4,93.0,52.8,1
AIML,6.58,88.8,68.1,5.3,6.0,6.6,5.5,5.2,0,3,3,0,0,53.4,46.8,62.9,66.3,37.6,0
CSE,6.68,73.8,74.9,6.5,4.9,4.8,5.1,5.8,1,2,4,0,0,73.0,32.7,63.6,42.7,43.5,0
CSE,7.99,70.8,73.3,4.8,8.0,8.1,7.3,4.1,1,3,1,1,0,68.6,65.9,52.6,81.4,54.8,1
IT,7.03,70.3,60.8,8.5,7.9,6.0,5.8,2.0,0,3,2,2,0,62.0,58.6,71.3,85.5,62.0,1
MECH,6.49,78.3,70.2,5.8,6.7,9.2,8.8,7.5,1,3,0,1,1,54.6,65.6,76.4,72.5,39.3,0
IT,9.03,84.8,67.5,5.2,10.0,4.3,4.8,3.2,1,4,0,0,0,63.6,24.3,42.7,84.6,54.9,1
CSE,6.26,53.8,60.3,4.2,5.7,4.8,7.7,5.2,3,0,4,2,4,57.8,40.8,44.7,58.9,28.1,0
IT,7.24,69.2,64.6,6.5,4.9,4.6,5.5,4.0,1,1,2,1,0,58.0,41.0,74.3,54.4,36.6,0
CSE,7.92,72.5,71.6,6.4,7.3,3.4,5.8,8.7,0,3,1,2,0,56.1,39.4,55.4,81.1,44.4,0
CSE,5.41,90.4,75.7,6.8,5.3,4.4,7.8,5.3,0,2,2,0,3,57.1,46.6,62.7,54.6,12.7,0
CSE,7.73,67.6,58.8,3.9,7.4,6.4,6.0,4.9,0,5,2,0,1,71.2,38.5,50.3,62.5,38.4,0
IT,6.04,74.0,90.6,2.8,5.0,4.8,6.2,7.0,0,1,1,0,0,33.5,22.8,23.7,64.4,5.6,0
CIVIL,8.11,87.7,83.0,7.3,5.8,0.0,5.8,9.8,1,1,1,2,0,68.4,4.5,46.3,57.1,34.0,0
MECH,6.14,78.5,73.9,9.0,9.9,8.2,9.7,6.3,2,3,2,0,0,80.1,70.2,85.7,100.0,63.0,1
ECE,7.96,96.4,59.2,3.9,5.8,3.0,6.1,4.7,0,2,1,1,1,51.5,35.9,38.1,56.5,19.8,0
AIML,8.42,76.2,72.2,9.2,5.1,7.3,7.1,6.9,1,2,0,1,1,67.7,61.7,88.6,55.9,54.8,1
ECE,8.15,100.0,71.4,6.6,8.6,6.3,6.7,2.4,1,4,1,1,0,68.0,45.6,75.0,80.0,60.5,1
IT,7.48,100.0,61.0,6.0,4.6,10.0,7.3,5.6,1,0,3,1,0,50.6,88.3,61.3,44.8,53.3,1
EEE,6.95,83.5,59.9,5.2,5.3,8.1,6.1,9.5,0,2,0,0,0,46.6,56.4,56.8,64.2,31.5,0
ECE,6.57,83.0,85.0,3.2,7.5,5.2,6.7,5.8,3,2,3,0,0,66.9,58.0,46.9,80.2,51.7,1
EEE,8.82,84.7,70.8,8.0,8.2,4.9,7.6,5.7,2,2,2,0,0,80.1,41.1,71.6,81.1,56.5,1
ECE,6.43,87.8,86.5,4.4,8.7,9.1,5.7,5.5,3,1,0,0,3,58.7,66.5,67.6,89.6,47.1,0
IT,6.06,79.5,74.8,4.4,5.2,3.4,8.6,4.7,0,1,2,0,1,37.4,20.1,40.7,51.0,21.7,0
MECH,7.93,92.0,84.8,8.0,7.6,6.6,8.8,6.1,1,0,1,1,0,59.7,54.1,72.1,76.9,59.3,1
CSE,6.32,84.0,84.3,2.2,5.7,6.0,7.9,7.1,2,5,3,0,1,80.9,47.0,29.5,59.5,43.4,0
AIML,6.15,94.6,81.1,3.0,5.4,5.5,7.1,4.8,2,3,4,0,0,64.1,43.3,36.5,51.2,39.1,0
ECE,5.61,60.6,90.4,6.0,8.7,6.9,2.5,0.5,0,3,1,1,0,54.9,44.5,58.6,75.2,46.5,0
MECH,6.67,80.6,76.3,6.6,5.5,6.6,7.6,6.4,3,1,3,0,1,86.3,51.2,68.6,45.9,54.7,1
AIML,7.11,90.2,55.6,7.0,7.0,7.1,6.4,9.8,3,0,1,2,0,64.1,63.2,68.8,63.6,62.6,1
CIVIL,7.47,64.3,57.6,5.4,6.8,6.5,6.6,4.7,0,3,1,1,0,61.4,45.7,65.0,78.6,34.4,0
CSE,8.25,83.2,66.5,10.0,4.6,7.0,4.2,2.6,1,3,1,3,0,71.0,58.0,97.5,34.6,68.1,1
AIML,7.78,85.3,84.6,5.5,8.2,6.4,7.7,6.9,1,2,2,0,1,70.8,60.0,57.2,81.7,51.3,1
CIVIL,6.99,98.7,69.8,5.5,7.5,4.9,4.8,9.0,2,2,1,0,1,66.6,44.6,52.0,73.3,48.4,0
ECE,6.98,73.9,77.7,4.4,2.9,6.2,7.2,6.6,1,2,2,1,1,61.8,40.0,53.3,32.0,33.2,0
CSE,7.76,80.5,82.0,6.2,7.0,4.8,8.4,8.9,0,1,3,0,0,63.3,41.3,59.9,76.6,42.0,0
IT,8.6,71.3,77.1,7.2,5.1,4.7,6.3,7.1,0,3,3,1,1,77.8,49.5,64.1,50.6,58.6,1
CIVIL,7.34,76.3,45.2,8.4,8.5,5.6,8.8,6.9,0,1,3,1,1,64.9,48.5,73.3,90.8,45.0,0
MECH,6.68,97.4,59.6,3.0,3.9,6.0,5.9,4.5,0,2,1,1,1,40.9,57.2,41.0,44.3,23.9,0
AIML,6.11,77.6,98.0,5.5,5.9,6.3,7.9,6.1,0,3,2,2,1,56.7,58.0,53.3,52.5,39.2,0
IT,5.61,69.5,79.2,6.9,7.2,7.9,5.0,5.4,1,0,4,0,2,62.0,54.4,68.9,76.4,42.3,0
CSE,7.93,75.8,40.0,7.2,6.6,5.3,8.5,5.4,2,3,0,1,0,64.2,56.3,71.8,66.0,67.8,1
ECE,7.84,71.8,75.9,6.0,7.9,6.6,8.3,5.0,1,4,3,1,0,79.8,62.6,68.7,68.4,54.4,1
CSE,7.84,72.7,98.4,7.1,3.8,6.4,7.7,6.0,1,1,1,1,1,60.2,49.1,73.7,44.4,30.4,0
IT,7.06,71.5,78.6,4.4,9.5,5.0,6.4,2.9,0,3,2,0,0,56.4,50.7,51.1,89.9,46.4,0
CSE,8.75,72.0,75.6,9.1,7.4,6.3,4.9,7.1,1,2,2,1,3,79.0,49.7,90.6,81.7,58.6,1
MECH,6.67,63.8,51.2,8.0,8.9,8.1,6.4,3.7,2,1,4,1,0,81.6,64.1,80.2,93.5,71.5,1
IT,8.25,78.8,71.5,3.3,8.1,6.6,8.7,5.0,1,3,2,3,0,64.3,45.3,42.4,75.9,60.9,1
AIML,7.16,66.3,53.6,3.8,6.5,6.6,7.2,6.2,1,3,3,2,4,70.1,44.8,56.8,71.2,26.0,0
ECE,6.53,91.7,59.1,3.9,4.2,4.9,4.7,3.6,0,3,0,0,0,50.5,40.1,39.6,38.2,27.1,0
IT,7.85,74.3,56.1,7.4,5.5,9.9,5.3,1.6,1,4,1,1,0,68.1,77.5,71.1,44.7,71.3,1
CSE,7.65,82.9,97.6,3.4,9.4,5.0,8.9,4.7,2,2,1,2,0,54.1,27.8,19.7,89.4,56.6,1
IT,7.59,82.9,84.5,5.3,9.0,3.0,7.7,2.6,1,3,2,1,2,64.3,27.1,62.3,80.7,30.0,0
CSE,7.29,56.0,93.2,6.9,5.4,7.8,5.1,6.9,0,3,2,0,0,67.6,66.8,84.8,53.5,54.2,1
ECE,7.16,74.8,57.8,5.9,1.4,6.0,4.4,3.2,2,1,4,0,0,74.1,50.2,52.0,28.8,43.0,0
IT,9.83,98.6,77.5,6.5,6.1,5.6,6.1,8.5,0,5,0,0,3,66.2,47.3,72.4,61.6,53.2,1
CSE,8.5,68.7,61.9,3.9,6.0,5.2,4.2,5.5,1,2,1,0,0,67.1,44.6,48.5,60.8,38.7,0
CSE,8.0,100.0,63.3,7.2,6.1,9.8,6.8,5.6,0,3,4,1,1,72.5,79.4,81.5,55.2,60.2,1
IT,7.32,84.5,81.1,4.8,7.5,6.9,10.0,1.5,3,3,1,1,0,73.0,57.8,55.5,73.8,64.1,1
IT,8.31,84.2,77.3,5.4,8.1,7.2,4.6,5.8,2,2,2,0,0,77.6,62.0,52.1,80.6,53.9,1
CIVIL,7.77,80.9,78.7,6.5,8.3,6.5,6.7,5.3,1,1,0,1,2,57.4,47.4,65.7,80.9,42.5,0
CIVIL,7.23,90.6,58.7,6.2,7.3,6.7,9.0,2.9,1,2,1,0,0,62.4,43.6,65.5,70.4,42.1,0
MECH,6.87,91.2,76.7,6.0,3.3,8.9,8.1,5.7,1,1,0,0,0,46.2,73.4,66.6,43.5,33.1,0
ECE,7.11,77.8,79.5,4.5,5.9,5.7,6.8,4.7,0,2,0,1,1,48.2,47.0,47.1,60.6,23.4,0
ECE,4.0,72.8,66.2,5.4,10.0,3.4,6.8,5.1,2,2,2,2,0,56.9,31.1,59.2,100.0,35.6,0
CSE,7.43,60.9,71.5,6.0,7.2,7.8,5.3,5.6,1,2,3,1,1,72.8,71.9,70.8,73.8,63.4,1
AIML,6.66,87.8,53.6,3.2,7.2,7.1,6.6,4.6,1,2,3,2,0,69.0,56.9,46.4,64.2,45.8,0
MECH,8.95,78.8,47.0,5.1,7.1,6.4,7.4,6.0,0,0,1,0,1,45.0,50.2,59.9,72.4,32.2,0
EEE,7.22,67.9,100.0,6.8,7.2,7.1,8.7,5.3,0,2,1,0,0,57.4,60.5,70.0,66.7,46.1,0
EEE,5.89,71.0,77.7,3.4,2.2,5.5,6.1,6.4,1,3,2,1,2,59.2,35.8,46.7,38.0,16.3,0
AIML,7.15,77.2,70.3,8.3,6.1,6.2,6.7,4.4,1,3,0,0,1,67.9,50.2,70.6,55.4,38.5,0
CSE,6.05,66.2,85.4,8.5,6.4,5.9,5.6,3.4,0,0,3,2,1,65.2,46.8,80.7,70.1,26.6,0
MECH,7.72,78.6,63.7,3.5,8.8,5.1,7.3,4.1,0,2,2,0,0,64.6,47.6,43.2,92.3,43.1,0
MECH,7.52,58.6,76.4,8.7,6.6,8.5,8.2,8.4,1,5,4,1,0,97.7,64.0,90.4,63.4,75.5,1
MECH,8.25,71.6,89.4,5.7,3.5,3.5,7.9,7.4,0,2,0,1,2,49.4,28.9,55.4,41.7,25.4,0
CSE,6.33,64.1,60.7,6.8,7.3,10.0,5.2,7.9,1,3,0,2,3,54.9,78.8,81.2,72.2,38.0,0
AIML,7.24,80.4,68.6,5.0,5.1,7.9,7.2,8.1,1,2,1,2,0,61.6,43.0,65.9,57.7,49.6,0
AIML,5.7,66.3,57.1,7.8,4.3,2.8,6.0,4.6,1,1,1,0,1,47.1,18.4,61.0,45.8,14.9,0
MECH,7.97,71.3,85.9,6.8,5.0,5.8,8.5,6.1,2,3,2,0,0,78.3,46.1,68.1,49.5,64.9,1
CIVIL,7.77,100.0,77.7,4.4,7.5,5.9,6.8,5.7,0,5,4,2,0,76.1,39.9,41.7,77.4,62.1,1
AIML,7.75,88.4,90.2,3.7,8.8,6.9,4.7,6.8,2,4,0,1,3,60.4,54.6,50.7,87.0,45.1,0
IT,7.2,85.2,86.0,3.1,7.4,4.3,6.7,4.9,2,3,1,1,3,65.2,45.3,38.3,67.4,24.0,0
CSE,7.66,93.6,71.6,6.4,7.6,6.3,7.7,5.7,1,2,1,0,0,66.3,57.8,56.7,62.6,53.3,1
MECH,8.96,84.1,80.3,7.1,7.4,6.0,7.4,5.6,3,2,2,1,0,89.2,32.8,69.1,77.1,77.4,1
MECH,6.89,61.1,80.5,7.3,6.7,4.8,6.2,6.6,2,2,2,0,0,72.7,44.5,57.5,68.6,51.1,1
EEE,7.35,62.2,84.5,5.8,7.8,4.5,6.1,6.8,3,2,2,2,0,75.2,40.8,61.8,78.5,65.4,1
IT,6.01,45.5,94.1,3.7,2.1,7.9,5.5,5.7,1,4,2,0,0,60.8,62.8,41.6,32.7,36.1,0
AIML,6.24,80.4,60.8,4.6,6.7,3.0,6.4,5.7,1,1,2,0,0,58.6,5.1,35.1,72.0,28.6,0
AIML,7.31,65.3,50.6,8.3,4.6,7.1,5.7,6.0,1,2,2,0,0,67.3,63.1,78.2,55.0,50.2,1
EEE,8.41,71.2,61.3,5.0,8.6,7.7,8.5,8.8,0,2,3,1,0,64.0,58.3,59.8,90.5,61.1,1
CSE,6.92,74.2,81.1,6.3,6.2,5.8,5.6,2.0,3,2,1,3,3,73.3,48.0,63.9,62.6,47.1,0
DS,6.94,70.7,80.4,3.8,6.6,6.3,7.2,3.6,1,0,0,0,0,36.6,42.7,40.0,58.8,32.7,0
IT,6.75,77.6,67.6,6.7,3.8,8.4,7.1,6.8,1,2,1,0,0,59.8,61.3,69.5,50.4,39.2,0
CSE,6.61,74.6,71.5,5.1,8.3,4.9,8.4,6.0,3,2,0,1,1,60.0,46.4,48.4,82.1,41.5,0
AIML,7.52,73.4,64.2,8.1,7.6,5.1,8.6,6.0,3,3,1,1,3,77.9,53.4,68.3,73.7,49.8,0
AIML,5.55,59.4,73.6,7.5,7.5,5.3,8.0,6.8,0,3,1,3,0,53.1,38.7,57.8,79.4,36.9,0
MECH,8.61,80.9,66.0,5.0,5.0,8.4,7.5,5.9,2,2,0,0,1,68.2,79.4,56.9,41.8,45.5,0
MECH,6.47,100.0,96.3,5.7,5.1,8.7,5.4,4.4,1,3,3,2,3,71.2,65.8,67.4,47.0,57.0,1
ECE,7.99,81.3,92.2,4.9,6.9,3.5,5.4,6.8,1,3,2,0,0,71.2,24.9,46.2,63.7,54.2,1
CSE,5.8,100.0,84.4,3.2,5.2,8.1,5.7,5.5,3,1,1,0,1,60.3,53.6,55.9,49.0,34.5,0
ECE,7.94,71.2,75.4,4.3,7.3,7.8,8.1,4.6,2,1,3,0,0,74.4,66.0,45.6,85.3,65.1,1
IT,7.94,75.0,89.8,6.4,2.6,9.2,7.1,6.9,1,4,2,2,4,75.7,71.7,69.2,30.1,43.9,0
CSE,7.62,77.8,76.3,6.7,5.6,6.9,8.3,6.8,1,2,1,2,0,65.6,54.3,70.5,55.1,52.5,1
ECE,6.11,76.0,77.1,6.3,9.7,6.1,8.5,5.9,1,1,4,0,2,66.2,45.9,65.7,95.8,51.3,1
ECE,7.47,92.0,52.5,5.4,7.3,8.4,5.9,8.9,1,2,1,3,0,61.9,59.1,58.1,76.7,53.1,1
MECH,5.9,51.7,78.4,7.9,6.8,7.5,7.0,8.2,0,3,3,0,1,71.5,65.2,77.6,56.8,40.6,0
AIML,6.92,72.5,58.2,6.1,10.0,10.0,7.0,7.5,1,3,4,0,0,80.5,79.5,68.4,97.7,75.9,1
ECE,8.33,98.0,69.8,7.4,2.3,8.0,6.5,10.0,0,4,2,1,3,67.9,70.6,80.1,24.4,37.4,0
ECE,8.08,72.0,77.2,2.5,5.0,6.5,6.2,5.2,1,2,2,3,1,58.7,44.4,27.7,53.1,37.7,0
IT,7.22,89.1,63.3,0.0,5.8,4.0,8.8,4.6,2,1,4,1,0,68.1,33.7,0.0,53.9,34.8,0
EEE,6.13,85.2,81.2,6.6,8.0,5.1,7.1,7.2,0,3,1,2,0,43.9,57.9,60.3,78.4,43.4,0
CSE,7.91,77.1,88.7,3.2,8.1,3.5,7.0,5.0,2,2,1,2,1,64.6,22.1,44.0,78.9,41.8,0
EEE,7.22,81.8,63.5,5.6,4.9,5.8,5.8,5.5,0,2,2,0,0,59.4,42.5,61.8,42.6,34.3,0
CSE,4.65,77.0,76.5,5.4,8.3,8.0,8.0,3.5,1,1,3,0,1,68.0,59.7,48.1,93.9,42.8,0
CSE,8.06,52.5,58.8,9.2,5.8,6.2,5.5,6.7,1,2,2,0,0,76.8,41.2,90.5,59.9,62.8,1
EEE,7.17,83.5,59.8,6.8,8.7,8.1,7.7,2.6,2,4,4,2,0,89.8,78.4,72.1,91.3,88.2,1
EEE,8.52,70.6,79.0,6.3,4.6,6.8,7.7,5.3,2,3,1,1,0,81.6,36.3,61.7,47.4,62.7,1
AIML,6.0,61.5,84.3,7.7,6.3,5.4,6.4,5.5,1,1,3,0,0,62.6,33.7,64.7,64.2,35.9,0
ECE,4.0,82.6,55.4,6.7,5.6,6.4,7.5,4.6,0,3,4,1,0,61.7,54.7,60.9,50.8,38.4,0
MECH,7.51,81.9,100.0,5.1,8.4,7.1,7.3,2.0,1,3,1,1,1,63.6,50.9,51.0,79.0,51.1,1
CIVIL,7.52,89.8,68.5,8.1,5.6,6.5,6.9,2.0,1,4,4,1,0,91.4,51.5,90.9,51.6,81.7,1
CSE,5.34,74.9,77.7,3.8,6.4,6.5,7.0,4.0,1,4,1,2,0,51.3,51.7,47.7,66.6,24.7,0
CIVIL,6.12,88.3,68.1,6.6,7.4,4.7,7.1,6.6,0,1,4,0,0,66.0,41.9,57.7,84.0,43.9,0
CSE,10.0,78.3,71.3,2.9,7.5,5.4,7.2,6.1,0,4,4,1,2,79.2,43.7,30.2,79.9,53.7,1
DS,6.86,82.1,94.7,6.4,8.1,10.0,7.1,5.5,0,1,0,0,1,54.6,76.9,71.0,90.8,44.3,0
CSE,8.0,83.1,94.6,6.4,6.9,8.5,5.3,3.7,1,1,2,2,0,57.2,69.3,65.1,72.0,52.0,1
EEE,6.48,62.0,53.5,9.4,5.7,3.4,6.8,6.2,1,1,2,1,3,60.9,25.8,81.7,61.0,26.3,0
CSE,4.9,82.5,67.7,2.9,5.9,1.7,7.4,1.9,1,1,0,1,1,25.2,27.2,25.3,54.7,6.4,0
DS,7.01,79.2,100.0,4.8,6.5,6.3,7.1,0.7,1,4,0,0,3,74.5,46.2,51.8,68.0,24.4,0
MECH,6.91,74.7,69.4,7.6,6.9,7.9,8.4,5.0,3,3,0,1,1,66.8,67.6,63.0,68.1,63.3,1
MECH,6.76,79.4,80.5,6.7,6.2,5.2,7.9,4.4,1,3,2,2,0,72.2,49.0,69.4,69.0,47.8,0
CSE,7.07,100.0,89.8,6.4,6.5,8.1,5.7,7.5,1,4,2,1,1,76.7,54.6,63.2,56.4,66.3,1
IT,7.49,55.0,86.1,4.1,3.8,6.3,6.8,5.8,0,2,4,2,0,61.6,41.6,51.7,40.0,43.6,0
CSE,7.03,76.4,40.0,4.8,7.7,5.9,6.5,8.8,1,0,1,0,0,52.6,62.6,65.7,75.9,34.9,0
AIML,5.81,87.7,79.3,8.5,6.8,7.6,7.0,4.4,1,3,2,0,0,62.9,55.7,73.0,79.1,49.5,0
CSE,7.73,63.0,97.7,5.9,8.3,5.2,7.0,6.5,1,4,0,1,0,60.7,41.6,58.2,75.6,48.1,0
CSE,5.06,82.5,75.4,6.8,6.5,5.7,7.9,5.0,2,5,2,1,0,67.9,43.9,62.4,73.4,50.6,1
CSE,4.94,81.6,61.5,5.8,3.4,7.5,7.3,8.3,2,2,4,0,0,74.7,59.5,63.9,42.5,40.3,0
EEE,8.01,58.9,61.7,3.6,5.9,6.1,8.8,5.1,2,4,1,0,2,62.5,46.1,26.6,60.0,36.6,0
MECH,7.76,71.0,72.4,7.9,6.1,9.8,7.4,7.2,0,4,1,1,0,69.7,79.6,80.1,65.1,51.6,1
CSE,7.14,99.4,83.8,7.0,7.8,7.5,5.8,3.3,1,1,2,1,0,61.9,53.6,65.4,74.8,58.2,1
IT,5.67,58.9,100.0,10.0,2.8,7.4,6.3,4.7,1,3,1,0,2,74.4,57.4,100.0,31.3,35.4,0
EEE,6.42,72.7,71.2,4.0,6.6,6.1,7.9,5.3,1,1,1,3,0,48.8,33.1,57.0,71.6,28.5,0
MECH,6.91,76.0,82.3,7.6,7.4,7.9,4.6,8.0,1,2,1,1,3,66.2,62.0,74.9,86.7,34.3,0
EEE,5.44,78.1,54.9,3.4,5.3,5.6,5.0,1.1,2,4,1,1,0,64.1,47.4,30.2,58.6,37.4,0
EEE,6.39,73.0,53.1,6.3,6.6,6.7,7.0,4.8,1,3,2,3,1,65.7,61.6,58.1,68.2,59.0,1
MECH,7.92,79.0,68.5,8.0,5.4,4.5,8.4,4.8,0,3,4,0,0,85.2,44.9,72.8,65.3,51.9,1
CSE,8.77,77.6,80.8,1.9,5.2,8.2,9.0,1.3,0,4,2,1,0,66.7,62.4,21.4,47.1,53.7,1
CSE,6.74,86.5,73.9,5.6,5.8,6.8,6.7,4.6,0,1,0,2,2,46.6,60.7,61.9,56.1,25.0,0
AIML,8.03,88.1,75.7,4.9,5.2,10.0,8.6,2.4,0,1,1,0,3,46.2,70.5,57.5,56.0,26.2,0
AIML,5.09,83.3,71.4,4.6,7.7,10.0,7.1,0.8,0,1,4,1,1,56.2,75.9,59.3,70.5,51.4,1
ECE,7.93,80.8,74.6,6.8,5.2,7.7,4.7,5.0,0,3,4,2,1,81.3,74.2,72.2,48.1,50.5,1
ECE,6.32,59.2,71.2,8.2,4.9,6.3,7.0,4.9,2,4,0,0,0,64.3,52.1,88.2,40.9,48.3,0
CIVIL,7.54,79.4,57.5,5.7,9.7,4.4,6.1,5.0,1,3,4,0,1,79.2,37.1,59.1,85.5,51.9,1
EEE,6.93,91.4,55.6,6.4,8.2,7.9,8.4,6.0,0,5,4,0,0,71.8,61.9,69.2,81.0,65.3,1
CSE,8.65,58.7,92.7,6.2,3.1,6.6,7.0,3.7,1,3,1,1,0,62.1,67.7,64.8,29.7,42.6,0
CSE,6.24,62.2,64.3,6.0,5.1,7.2,5.1,9.1,3,3,2,0,0,76.7,62.0,48.6,53.7,59.7,1
IT,7.89,95.9,71.9,3.8,6.9,9.5,4.8,5.4,1,3,2,0,0,76.2,87.8,50.8,68.8,51.0,1
CIVIL,6.89,60.0,90.5,8.2,7.1,4.6,7.0,8.1,3,4,1,2,1,92.4,32.3,79.3,72.9,66.3,1
CSE,7.03,76.8,71.5,6.6,3.8,4.4,3.4,2.1,1,1,1,1,0,54.8,27.8,60.8,34.7,26.1,0
CSE,7.0,71.4,86.4,6.8,8.6,5.8,6.2,3.8,3,1,1,0,1,63.8,39.9,77.5,90.0,52.0,1
CSE,6.27,95.2,63.5,4.4,8.0,7.8,7.3,6.9,0,2,4,3,0,66.5,67.1,40.2,82.2,49.6,0
CIVIL,7.18,81.6,95.2,5.1,7.4,7.3,5.4,5.0,0,4,3,2,1,59.9,71.2,50.0,73.1,48.3,0
CSE,7.13,87.5,78.0,5.6,8.9,4.5,8.5,3.4,1,4,1,0,0,64.8,42.0,49.7,90.4,56.0,1
CSE,7.47,78.7,74.7,2.9,7.3,7.6,8.8,1.8,3,2,2,2,0,68.0,68.1,38.8,73.4,69.4,1
IT,7.29,100.0,72.9,2.6,7.3,3.9,5.5,7.0,2,4,1,1,0,67.0,32.7,24.3,79.2,36.7,0
CSE,8.08,69.1,84.9,4.8,9.3,4.6,6.6,6.8,1,2,2,1,0,72.8,26.7,38.9,97.1,50.2,1
CIVIL,8.22,82.1,78.1,7.0,8.5,6.0,8.5,6.0,0,2,3,0,0,57.0,64.0,65.8,82.6,58.7,1
CSE,6.04,93.1,40.0,4.7,5.0,5.1,7.0,4.5,1,4,2,0,0,67.1,46.5,55.0,52.9,35.4,0
CSE,8.16,95.8,69.2,4.0,7.6,7.9,4.9,3.3,0,2,1,0,0,55.3,67.3,52.8,71.3,42.2,0
CSE,5.9,74.8,79.2,4.4,5.3,6.7,6.8,5.4,1,2,1,0,0,51.0,60.9,43.6,69.3,33.7,0
IT,7.85,53.7,62.4,5.1,7.4,9.6,5.7,2.9,0,0,2,1,3,53.0,62.7,57.2,70.9,33.9,0
AIML,7.88,73.4,68.5,5.3,7.4,5.7,8.7,4.0,1,0,2,1,0,60.7,41.8,48.4,82.1,39.5,0
IT,5.1,98.9,70.0,10.0,4.0,6.0,7.9,8.0,2,3,2,0,1,75.2,52.7,83.1,60.1,50.5,1
ECE,7.3,68.8,95.7,8.1,6.3,8.5,6.5,1.8,0,1,2,2,0,49.3,66.8,84.9,65.0,50.5,1
CIVIL,6.68,81.5,82.8,8.0,7.0,6.0,7.2,6.9,1,3,3,1,1,71.4,47.6,67.5,59.6,52.4,1
CSE,6.37,74.3,79.3,8.3,5.7,9.0,5.0,8.5,0,3,2,1,0,72.1,82.6,89.4,65.5,52.5,1
ECE,8.69,77.1,59.8,4.0,7.1,7.2,5.9,7.1,0,2,4,3,0,64.9,58.8,59.2,66.4,53.3,1
AIML,6.48,93.7,66.1,3.6,8.0,1.7,9.3,6.3,1,3,1,3,1,56.4,32.9,34.5,76.8,29.5,0
CSE,6.31,81.1,86.1,3.8,6.4,8.4,7.1,4.6,0,5,4,0,0,69.2,67.2,51.5,75.8,44.5,0
CSE,7.28,100.0,83.6,8.7,6.9,7.9,8.4,4.2,3,1,1,1,0,76.4,69.9,89.4,62.7,61.5,1
CSE,7.95,89.7,56.5,4.9,9.0,8.0,7.3,1.0,1,3,2,2,0,68.6,67.9,51.8,96.9,62.8,1
CSE,7.04,79.6,93.2,3.5,7.4,2.6,9.0,5.6,0,4,2,0,0,64.4,16.0,35.7,73.8,29.5,0
CSE,8.48,76.9,63.8,5.1,6.9,4.9,4.0,4.7,1,0,1,0,2,57.1,31.3,53.2,54.6,20.2,0
MECH,7.78,82.0,79.7,5.5,4.8,5.1,6.7,4.1,0,1,4,0,1,64.2,40.9,50.0,55.0,43.3,0
EEE,4.8,63.2,100.0,6.5,7.7,4.6,9.5,5.5,0,2,1,0,0,34.1,52.2,43.9,65.3,19.2,0
AIML,6.62,65.3,69.6,6.5,7.1,9.5,8.4,5.6,0,3,2,3,2,57.1,72.9,63.7,72.0,44.4,0
IT,6.58,87.1,77.2,4.3,8.8,6.2,9.0,4.2,0,1,3,2,0,48.0,53.6,40.5,78.5,37.0,0
ECE,7.73,89.0,67.7,7.4,6.6,6.1,7.0,8.7,2,2,1,0,1,64.6,47.0,74.7,64.3,54.0,1
ECE,4.31,62.1,77.3,4.7,3.2,7.2,6.2,7.0,2,2,4,2,2,69.2,59.8,41.9,39.5,42.4,0
ECE,10.0,88.3,93.5,5.7,3.4,7.3,5.5,7.3,1,2,2,0,0,85.5,67.4,73.2,39.0,53.7,1
MECH,7.78,75.9,72.5,7.4,7.8,0.0,5.4,5.3,1,3,4,0,1,71.6,0.9,70.4,77.0,45.9,0
ECE,7.36,68.0,71.2,4.7,5.5,5.0,8.2,6.5,1,3,2,0,1,59.4,34.9,55.0,63.5,34.4,0
CIVIL,8.5,74.2,89.3,4.9,7.3,3.5,7.8,3.7,0,2,2,0,0,62.9,41.0,42.4,73.3,33.7,0
EEE,9.78,88.7,58.6,7.2,6.7,7.0,6.9,6.8,1,2,1,0,1,71.2,50.8,56.8,66.0,56.2,1
MECH,8.16,85.3,76.1,4.3,6.2,5.7,7.8,5.1,1,3,3,2,0,76.5,50.6,51.4,65.3,48.5,0
EEE,8.24,81.6,65.5,5.2,6.3,6.2,7.2,3.5,0,3,0,0,1,55.2,37.9,49.1,60.2,29.7,0
ECE,7.34,82.5,71.9,7.1,4.9,2.3,8.4,5.5,1,4,2,2,0,82.2,28.3,66.9,58.1,41.9,0
AIML,7.04,64.3,63.5,10.0,6.5,5.6,8.4,4.9,2,2,0,0,0,71.0,65.7,95.4,67.1,52.4,1
IT,6.68,84.6,56.4,7.2,5.4,8.3,5.4,10.0,2,3,1,1,1,74.5,66.3,71.2,58.7,54.2,1
CSE,6.29,72.5,46.3,6.9,5.8,8.9,7.4,6.4,0,1,0,2,0,48.1,62.8,64.8,58.8,43.0,0
AIML,6.44,100.0,69.1,7.1,5.9,7.6,4.5,8.7,0,4,4,0,0,69.9,66.7,72.9,60.7,56.6,1
